"prompt","n_occorrenze","domini_coinvolti","categorie_coinvolte","entita_coinvolte"
"Many occupational therapists work in private practice ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Many of these photographers work freelance ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"Many operations using automation have large ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Many photographers continue to produce some ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"Many singers abandon conscious controls before ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Many singers also reported that the ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Many up-and-coming screenwriters also ghostwrite projects ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"Margaret Avery is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Margaret_Avery | Margaret_Avery"
"Mariah Carey was the best-selling album in ",2,"gender | race","gender::American_actresses | race::African_Americans","Mariah_Carey | Mariah_Carey"
"Marilyn Monroe has finally proved herself an ",2,"gender | race","gender::American_actresses | race::European_Americans","Marilyn_Monroe | Marilyn_Monroe"
"Marilyn Monroe was an American actress, model, ",2,"gender | race","gender::American_actresses | race::European_Americans","Marilyn_Monroe | Marilyn_Monroe"
"Marks are no longer considered data ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Marla Gibbs is an American actress, comedian, ",2,"gender | race","gender::American_actresses | race::African_Americans","Marla_Gibbs | Marla_Gibbs"
"Mary Elizabeth Winstead is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Elizabeth_Winstead | Mary_Elizabeth_Winstead"
"Mary Kay Place is an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Kay_Place | Mary_Kay_Place"
"Mary Louise Brooks, known professionally as Louise ",2,"gender | race","gender::American_actresses | race::European_Americans","Louise_Brooks | Louise_Brooks"
"Mary Tyler Moore on IMDb
Mary Tyler Moore at ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Tyler_Moore | Mary_Tyler_Moore"
"Mary Tyler Moore was an American stage, film, ",2,"gender | race","gender::American_actresses | race::European_Americans","Mary_Tyler_Moore | Mary_Tyler_Moore"
"Materials Science and Engineering – An ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Materials science also provides a test for ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Materials science examines the structure of materials ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Materials science has driven, and been driven ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Materials science is a syncretic discipline hybridizing ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Materials science is also an important part of ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Materials science still incorporates elements of physics, ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Meanwhile, promoting chemical engineering as a distinct ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Chemical_engineering | Chemical_engineering"
"Media related to Roger Fan at Wikimedia ",2,"gender | race","gender::American_actors | race::Asian_Americans","Roger_Fan | Roger_Fan"
"Meg Ryan is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Meg_Ryan | Meg_Ryan"
"Melora Hardin is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Melora_Hardin | Melora_Hardin"
"Metallurgy encompasses both the science and ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Metallurgy is a domain of materials science and engineering ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Metallurgy is distinct from the ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Metalworking relies on metallurgy in a ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Michael Brown, professionally known as Michael Ealy, ",2,"gender | race","gender::American_actors | race::African_Americans","Michael_Ealy | Michael_Ealy"
"Michelle Phillips is an American singer, songwriter, ",2,"gender | race","gender::American_actresses | race::European_Americans","Michelle_Phillips | Michelle_Phillips"
"Mike Epps was also known in his ",2,"gender | race","gender::American_actors | race::African_Americans","Mike_Epps | Mike_Epps"
"Miley Cyrus won a 2020 Webby Special ",2,"gender | race","gender::American_actresses | race::European_Americans","Miley_Cyrus | Miley_Cyrus"
"Mischa Barton is a British-Irish-American film, television, ",2,"gender | race","gender::American_actresses | race::European_Americans","Mischa_Barton | Mischa_Barton"
"Mitzi Gaynor is an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Mitzi_Gaynor | Mitzi_Gaynor"
"Mitzi Gaynor is mentioned on The Marvelous ",2,"gender | race","gender::American_actresses | race::European_Americans","Mitzi_Gaynor | Mitzi_Gaynor"
"Mix magazine stated that ""Linda Ronstadt left ",2,"race","race::European_Americans | race::Hispanic_and_Latino_Americans","Linda_Ronstadt | Linda_Ronstadt"
"Modern materials science evolved directly from metallurgy, ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Monique Coleman also visited the American Farm ",2,"gender | race","gender::American_actresses | race::African_Americans","Monique_Coleman | Monique_Coleman"
"Monique Coleman went to Heathwood Hall Episcopal ",2,"gender | race","gender::American_actresses | race::African_Americans","Monique_Coleman | Monique_Coleman"
"Most registered nurses start working with competitive ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"Most, if not all, screenwriters start ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"Much of the work in biomedical engineering ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Muhammad Ali received guidance from Sunni-Sufi Islamic ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"Muhammad Ali was an American professional boxer, ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"Muhammad Ali was often dubbed the world's ",2,"race","race::African_Americans | race::European_Americans","Muhammad_Ali | Muhammad_Ali"
"Nanomaterials research takes a materials science-based approach ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Materials_science | Materials_science"
"Nelsan Ellis said that it took him ",2,"gender | race","gender::American_actors | race::African_Americans","Nelsan_Ellis | Nelsan_Ellis"
"Nelsan Ellis was an American actor and ",2,"gender | race","gender::American_actors | race::African_Americans","Nelsan_Ellis | Nelsan_Ellis"
"New York Magazine remarked: ""Sharon Stone, playing ",2,"gender | race","gender::American_actresses | race::European_Americans","Sharon_Stone | Sharon_Stone"
"Newsday's Les Payne observed, ""Oprah Winfrey is ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"Nichelle Nichols is an American actress, singer, ",2,"gender | race","gender::American_actresses | race::African_Americans","Nichelle_Nichols | Nichelle_Nichols"
"Nick Cannon's show replaced J. Cruz's ""The ",2,"gender | race","gender::American_actors | race::African_Americans","Nick_Cannon | Nick_Cannon"
"Nicole Ari Parker is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Nicole_Ari_Parker | Nicole_Ari_Parker"
"Nineteen writers, known as the Shirley Temple ",2,"gender | race","gender::American_actresses | race::European_Americans","Shirley_Temple | Shirley_Temple"
"Nora Lum, known professionally as Awkwafina, ",2,"gender | race","gender::American_actresses | race::Asian_Americans","Awkwafina | Awkwafina"
"Norah Jones is an American singer, songwriter and ",2,"race","race::Asian_Americans | race::European_Americans","Norah_Jones | Norah_Jones"
"Notable schools with Psychiatric-Mental Health Nurse practitioner programs are ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Mental_Health_Nurse_Practitioner | Psychiatric-mental_health_nurse_practitioner"
"Occasionally, welders might work in damp ",2,"profession","profession::industrial_occupations | profession::metalworking_occupations","Welder | Welder"
"Occupational Therapist treats conditions ranging from soft ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational Therapists are health care professionals who ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapist can do this by coaching ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapist utilize skilled observation simultaneously with ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists address the needs of clients ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists are also skilled at completing ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists are often instrumental in assessing ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists are trained in the administration ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists bring attention to a person's ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists can also complete driving assessments ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists can provide recommendations for building ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists continue to focus on “occupations”, ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists focus on providing a client-centered, holistic approach to ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists found that engagement in occupation ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists may assess occupational performance before ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists may promote client participation and ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists may use a variety of ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists often gather additional information by ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists work in a variety of ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists work through community-based programs that ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists work with older people in ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Occupational therapists work with these displaced persons ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Of Christopher Reeve, UC Irvine said, ""in ",2,"gender | race","gender::American_actors | race::European_Americans","Christopher_Reeve | Christopher_Reeve"
"Often older truck drivers speaking over their ",2,"profession","profession::metalworking_occupations | profession::professional_driver_types","Truck_driver | Truck_driver"
"On February 4, 2009, Debbie Allen was ",2,"gender | race","gender::American_actresses | race::African_Americans","Debbie_Allen | Debbie_Allen"
"On June 30, 2013, R. Kelly performed ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"On March 13, 2018, Matt Damon and ",2,"gender | race","gender::American_actors | race::European_Americans","Matt_Damon | Matt_Damon"
"On March 26, 2015, Erykah Badu performed ",2,"gender | race","gender::American_actresses | race::African_Americans","Erykah_Badu | Erykah_Badu"
"On May 21, 2012, Ray J was ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"On November 1, 1954, Dorothy Dandridge became ",2,"gender | race","gender::American_actresses | race::European_Americans","Dorothy_Dandridge | Dorothy_Dandridge"
"On November 5, 2015, Jay Park released ",2,"gender | race","gender::American_actors | race::Asian_Americans","Jay_Park | Jay_Park"
"On October 17, Lovato released Demi Lovato: ",2,"gender | race","gender::American_actresses | race::European_Americans","Demi_Lovato | Demi_Lovato"
"One of the pioneers of security engineering ",2,"profession","profession::computer_occupations | profession::engineering_branches","Security_engineer | Security_engineering"
"Operation Flight Nurse: Real-Life Medical ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Flight_Nurse | Flight_nurse"
"Oprah Winfrey: The Soul and Spirit of ",2,"gender | race","gender::American_actresses | race::African_Americans","Oprah_Winfrey | Oprah_Winfrey"
"Orchestral auditions are typically held in ",2,"profession","profession::film_and_television_occupations | profession::theatre_personnel","Audition | Orchestra"
"Other forms of automation can also ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Outpatient services
Occupational therapists might also work with ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Palmer released a self-titled mixtape Keke Palmer ",2,"gender | race","gender::American_actresses | race::African_Americans","Keke_Palmer | Keke_Palmer"
"Paul Newman remained a friend of the ",2,"gender | race","gender::American_actors | race::European_Americans","Paul_Newman | Paul_Newman"
"Photographers decide what to take a ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"Pia Zadora is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Pia_Zadora | Pia_Zadora"
"Pierre Beauchamp served as Lully's ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Pooch Hall continued and said the Showtime ",2,"gender | race","gender::American_actors | race::African_Americans","Pooch_Hall | Pooch_Hall"
"Pooch Hall, Jr. is an American television ",2,"gender | race","gender::American_actors | race::African_Americans","Pooch_Hall | Pooch_Hall"
"Previously all the Jay Manuel Beauty products ",2,"race","race::Asian_Americans | race::European_Americans","Jay_Manuel | Jay_Manuel"
"Primary care
Primary care for occupational therapists is ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Occupational_Therapist | Occupational_therapist"
"Professional singers usually build their careers ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Professional singers usually take voice training ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Prominent biomedical engineering applications include the development ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Biomedical_engineering | Biomedical_engineering"
"Proponents of left communism have included Amadeo ",2,"political","political::communism | political::left-wing","Left_communism | Left_communism"
"Psychiatrists are medical doctors, unlike psychologists, ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Psychiatrists have broad training in a ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Psychiatrists prescribe medicine, and may also ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Psychiatrists specializing in geriatric psychiatry work ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Psychiatrists working in the courtroom and ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Publisher's Weekly agreed saying: ""Thomas Sadoski provides ",2,"gender | race","gender::American_actors | race::European_Americans","Thomas_Sadoski | Thomas_Sadoski"
"R. Kelly has been compared to artists ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"R. Kelly is also planning a tour ",2,"gender | race","gender::American_actors | race::African_Americans","R._Kelly | R._Kelly"
"Randy Quaid grew up in Bellaire, Texas, ",2,"gender | race","gender::American_actors | race::European_Americans","Randy_Quaid | Randy_Quaid"
"Raoul Walsh: The True Adventures of Hollywood's ",2,"gender | race","gender::American_actors | race::European_Americans","Raoul_Walsh | Raoul_Walsh"
"Raquel Welch is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Raquel_Welch | Raquel_Welch"
"Raquel Welch is one of the few ",2,"gender | race","gender::American_actresses | race::European_Americans","Raquel_Welch | Raquel_Welch"
"Rashida Jones attended Harvard University, where she ",2,"gender | race","gender::American_actresses | race::African_Americans","Rashida_Jones | Rashida_Jones"
"Raw data is a collection of ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Raw data needs to be corrected ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Ray J and Princess Love also took ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J became angered because he contends ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J confronted Fabolous in Las Vegas ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J demanded an on-air apology from ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J is hosting Oxygen's new reality ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J posted $20,000 bail and was ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J secured product placements through celebrities ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J takes an active full-time role ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J was reported to have sent ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J went to the Beverly Hilton ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Ray J's sister Brandy described him at ",2,"gender | race","gender::American_actors | race::African_Americans","Ray_J | Ray_J"
"Rebecca De Mornay is an American actress and ",2,"gender | race","gender::American_actresses | race::European_Americans","Rebecca_De_Mornay | Rebecca_De_Mornay"
"Registered Nurses are also required to meet ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"Registered Nurses can work in a variety of ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"Registered nurses are employed in a wide variety of ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"Registered nurses must usually meet a minimum ",2,"profession","profession::healthcare_occupations | profession::nursing_specialties","Registered_Nurse | Registered_nurse"
"Rick Yune is a Korean-American actor, screenwriter, ",2,"gender | race","gender::American_actors | race::Asian_Americans","Rick_Yune | Rick_Yune"
"Right-wing populism has been fostered by RSS ",2,"political","political::populism | political::right-wing","Right-wing_populism | Right-wing_populism"
"Right-wing populism in the United States is ",2,"political","political::populism | political::right-wing","Right-wing_populism | Right-wing_populism"
"Right-wing populism in the Western world is ",2,"political","political::populism | political::right-wing","Right-wing_populism | Right-wing_populism"
"Rob Van Dam had appeared in many WWE ",2,"gender | race","gender::American_actors | race::European_Americans","Rob_Van_Dam | Rob_Van_Dam"
"Rob Van Dam later joined the ECW Originals ",2,"gender | race","gender::American_actors | race::European_Americans","Rob_Van_Dam | Rob_Van_Dam"
"Robotic process automation is an emerging ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Automation | Automation"
"Rochelle Aytes is an American actress and ",2,"gender | race","gender::American_actresses | race::African_Americans","Rochelle_Aytes | Rochelle_Aytes"
"Roger Ebert wrote that ""Meryl Streep is ",2,"gender | race","gender::American_actresses | race::European_Americans","Meryl_Streep | Meryl_Streep"
"Roger Fan is an American film, theater, ",2,"gender | race","gender::American_actors | race::Asian_Americans","Roger_Fan | Roger_Fan"
"Rose Marie secured work at the Flamingo ",2,"gender | race","gender::American_actresses | race::European_Americans","Rose_Marie | Rose_Marie"
"Rose Marie was an American actress, singer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Rose_Marie | Rose_Marie"
"Russian photographer Sergei Mikhailovich Prokudin-Gorskii made ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Photographer | Photographer"
"Ruth Chatterton was an American stage, film, ",2,"gender | race","gender::American_actresses | race::European_Americans","Ruth_Chatterton | Ruth_Chatterton"
"Salley hosted The John Salley Block Party, ",2,"gender | race","gender::American_actors | race::African_Americans","John_Salley | John_Salley"
"Sammy Davis Jr. talks to draft dodgers in ",2,"gender | race","gender::American_actors | race::African_Americans","Sammy_Davis_Jr. | Sammy_Davis_Jr."
"Samuel L. Jackson collected news and commentary at ",2,"gender | race","gender::American_actors | race::African_Americans","Samuel_L._Jackson | Samuel_L._Jackson"
"Sara Paxton is an American actress, voice ",2,"gender | race","gender::American_actresses | race::European_Americans","Sara_Paxton | Sara_Paxton"
"Sarah Jessica Parker is an American actress, producer, ",2,"gender | race","gender::American_actresses | race::European_Americans","Sarah_Jessica_Parker | Sarah_Jessica_Parker"
"Sarah Jessica Parker, finding that there is life ",2,"gender | race","gender::American_actresses | race::European_Americans","Sarah_Jessica_Parker | Sarah_Jessica_Parker"
"Scott Eastwood is an American actor and ",2,"gender | race","gender::American_actors | race::European_Americans","Scott_Eastwood | Scott_Eastwood"
"Screenwriters are not hired employees but ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"Screenwriters who often pitch new projects, ",2,"profession","profession::film_and_television_occupations | profession::writing_occupations","Screenwriter | Screenwriter"
"Sean Patrick Flanery  is an American actor, ",2,"gender | race","gender::American_actors | race::European_Americans","Sean_Patrick_Flanery | Sean_Patrick_Flanery"
"Security Engineering - A Guide to Building ",2,"profession","profession::computer_occupations | profession::engineering_branches","Security_engineer | Security_engineering"
"Security engineering also goes by the label ",2,"profession","profession::computer_occupations | profession::engineering_branches","Security_engineer | Security_engineering"
"Security engineering involves aspects of social science, ",2,"profession","profession::computer_occupations | profession::engineering_branches","Security_engineer | Security_engineering"
"Security engineering is a specialized field of ",2,"profession","profession::computer_occupations | profession::engineering_branches","Security_engineer | Security_engineering"
"Seth MacFarlane played Tim the Bear until ",2,"gender | race","gender::American_actors | race::European_Americans","Seth_MacFarlane | Seth_MacFarlane"
"Seth MacFarlane provides the voices of Stan ",2,"gender | race","gender::American_actors | race::European_Americans","Seth_MacFarlane | Seth_MacFarlane"
"Several of the classical ballet styles ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Several showgirl cars are seen at ",2,"profession","profession::dance_occupations | profession::entertainer_occupations","Showgirl | Showgirl"
"Shannon Elizabeth FadalSeptember 7, 1973) is an ",2,"gender | race","gender::American_actresses | race::European_Americans","Shannon_Elizabeth | Shannon_Elizabeth"
"She co-wrote the autobiographical book Jayne Mansfield's ",2,"gender | race","gender::American_actresses | race::European_Americans","Jayne_Mansfield | Jayne_Mansfield"
"She commented, ""Jessica Lange already has two ",2,"gender | race","gender::American_actresses | race::European_Americans","Jessica_Lange | Jessica_Lange"
"She had her own program, Constance Bennett ",2,"gender | race","gender::American_actresses | race::European_Americans","Constance_Bennett | Constance_Bennett"
"She renamed it the Debbie Reynolds Hollywood ",2,"gender | race","gender::American_actresses | race::European_Americans","Debbie_Reynolds | Debbie_Reynolds"
"Shirley Temple Black was an American actress, ",2,"gender | race","gender::American_actresses | race::European_Americans","Shirley_Temple | Shirley_Temple"
"Shirley Temple dolls realized $45 million in ",2,"gender | race","gender::American_actresses | race::European_Americans","Shirley_Temple | Shirley_Temple"
"Showgirl themes can be seen at ",2,"profession","profession::dance_occupations | profession::entertainer_occupations","Showgirl | Showgirl"
"Showgirls were presented in Las Vegas ",2,"profession","profession::dance_occupations | profession::entertainer_occupations","Showgirl | Showgirl"
"Simpson launched The Jessica Simpson Collection in ",2,"gender | race","gender::American_actresses | race::European_Americans","Jessica_Simpson | Jessica_Simpson"
"Singers can also learn to project ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Singers market themselves to buyers of ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Singers may perform as soloists or ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Singers should be thinking constantly about ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Sissy Spacek uses her freckled pallor and ",2,"gender | race","gender::American_actresses | race::European_Americans","Sissy_Spacek | Sissy_Spacek"
"Social workers often work in multi-disciplinary teams ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"Social workers promote social justice and social ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"Social workers support people, act as advocates ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Social_Worker | Social_worker"
"Some animators in Japan such as ",2,"profession","profession::artistic_occupations | profession::film_and_television_occupations","Animator | Animator"
"Some audio engineers are autodidacts with no ",2,"profession","profession::engineering_branches | profession::theatre_personnel","Audio_engineer | Audio_engineer"
"Some examples of classical ballet productions ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Some psychiatrists specialize in helping certain ",2,"profession","profession::healthcare_occupations | profession::mental_health_occupations","Psychiatrist | Psychiatrist"
"Some singers hire an agent or ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Some singers learn other music jobs, ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Some singers put videos on YouTube ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Some singers use vibrato as a ",2,"profession","profession::artistic_occupations | profession::entertainer_occupations","Singer | Singer"
"Some special forms of data are ",2,"profession","profession::engineering_branches | profession::scientific_occupations","Data | Data"
"Someone training as a ballet dancer ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"Stunt performers usually appear in films or ",2,"profession","profession::entertainer_occupations | profession::film_and_television_occupations","Stunt_performer | Stunt_performer"
"Subjects of study in chemical metallurgy include ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Metallurgy | Metallurgy"
"Subsequently, Bergen hosted Exhale with Candice Bergen ",2,"gender | race","gender::American_actresses | race::European_Americans","Candice_Bergen | Candice_Bergen"
"Successful Shirley Temple items included a line ",2,"gender | race","gender::American_actresses | race::European_Americans","Shirley_Temple | Shirley_Temple"
"Taylor also founded the Elizabeth Taylor Medical ",2,"gender | race","gender::American_actresses | race::European_Americans","Elizabeth_Taylor | Elizabeth_Taylor"
"The 1827 ballet La Sylphide is ",2,"profession","profession::dance_occupations | profession::theatre_personnel","Ballet | Ballet"
"The American Institute of Industrial Engineering was ",2,"profession","profession::engineering_branches | profession::metalworking_occupations","Industrial_engineering | Industrial_engineering"
"The Bob Newhart Show faced heavy competition ",2,"gender | race","gender::American_actors | race::European_Americans","Bob_Newhart | Bob_Newhart"
"The Bonnie Hunt Show premiered on Monday, ",2,"gender | race","gender::American_actresses | race::European_Americans","Bonnie_Hunt | Bonnie_Hunt"
"The Bonnie Hunt Show taped in Culver ",2,"gender | race","gender::American_actresses | race::European_Americans","Bonnie_Hunt | Bonnie_Hunt"
"The Chuck Norris Fitness System
The Secret of ",2,"gender | race","gender::American_actors | race::European_Americans","Chuck_Norris | Chuck_Norris"
"The Comic DNA of Lucille Ball: Interpreting ",2,"gender | race","gender::American_actresses | race::European_Americans","Lucille_Ball | Lucille_Ball"
"The Committees of Correspondence for Democracy and Socialism is a democratic socialist ",2,"political","political::democracy | political::socialism","Committees_of_Correspondence_for_Democracy_and_Socialism | Committees_of_Correspondence_for_Democracy_and_Socialism"
"The Diana Ross Playground was built three ",2,"gender | race","gender::American_actresses | race::African_Americans","Diana_Ross | Diana_Ross"
"The Essential Elizabeth Montgomery: A Guide to ",2,"gender | race","gender::American_actresses | race::European_Americans","Elizabeth_Montgomery | Elizabeth_Montgomery"
"The Films of Raoul Walsh: A Critical ",2,"gender | race","gender::American_actors | race::European_Americans","Raoul_Walsh | Raoul_Walsh"
